PAC,district,id,left,top,right,bottom,seekinghelpnum,stationnum,hospitalnum,oldpeonum
420104,硚口区,11,871667.5035,3828391.12,872667.5035,3827391.12,0,0,0,0
420104,硚口区,12,871667.5035,3827391.12,872667.5035,3826391.12,0,0,0,0
420104,硚口区,39,872667.5035,3829391.12,873667.5035,3828391.12,0,0,0,0
420104,硚口区,40,872667.5035,3828391.12,873667.5035,3827391.12,0,0,0,0
420104,硚口区,41,872667.5035,3827391.12,873667.5035,3826391.12,0,2,0,0
420104,硚口区,42,872667.5035,3826391.12,873667.5035,3825391.12,0,0,0,0
420104,硚口区,68,873667.5035,3829391.12,874667.5035,3828391.12,0,0,0,0
420104,硚口区,69,873667.5035,3828391.12,874667.5035,3827391.12,0,0,0,0
420104,硚口区,70,873667.5035,3827391.12,874667.5035,3826391.12,0,2,0,0
420104,硚口区,71,873667.5035,3826391.12,874667.5035,3825391.12,0,2,0,0
420105,汉阳区,72,873667.5035,3825391.12,874667.5035,3824391.12,0,0,0,0
420105,汉阳区,73,873667.5035,3824391.12,874667.5035,3823391.12,0,0,0,0
420105,汉阳区,74,873667.5035,3823391.12,874667.5035,3822391.12,0,0,0,0
420105,汉阳区,75,873667.5035,3822391.12,874667.5035,3821391.12,0,0,0,0
420105,汉阳区,76,873667.5035,3821391.12,874667.5035,3820391.12,0,0,0,0
420105,汉阳区,77,873667.5035,3820391.12,874667.5035,3819391.12,0,0,0,0
420104,硚口区,97,874667.5035,3829391.12,875667.5035,3828391.12,0,0,0,0
420104,硚口区,98,874667.5035,3828391.12,875667.5035,3827391.12,0,0,0,0
420104,硚口区,99,874667.5035,3827391.12,875667.5035,3826391.12,0,0,0,0
420104,硚口区,100,874667.5035,3826391.12,875667.5035,3825391.12,0,0,0,0
420105,汉阳区,101,874667.5035,3825391.12,875667.5035,3824391.12,0,0,0,0
420104,硚口区,102,874667.5035,3824391.12,875667.5035,3823391.12,0,0,0,0
420105,汉阳区,103,874667.5035,3823391.12,875667.5035,3822391.12,0,0,0,0
420105,汉阳区,104,874667.5035,3822391.12,875667.5035,3821391.12,0,2,0,0
420105,汉阳区,105,874667.5035,3821391.12,875667.5035,3820391.12,0,0,0,0
420105,汉阳区,106,874667.5035,3820391.12,875667.5035,3819391.12,0,0,0,0
420105,汉阳区,107,874667.5035,3819391.12,875667.5035,3818391.12,0,0,0,0
420104,硚口区,126,875667.5035,3829391.12,876667.5035,3828391.12,0,0,0,0
420104,硚口区,127,875667.5035,3828391.12,876667.5035,3827391.12,0,0,0,0
420104,硚口区,128,875667.5035,3827391.12,876667.5035,3826391.12,0,0,0,2
420104,硚口区,129,875667.5035,3826391.12,876667.5035,3825391.12,2,2,0,1
420104,硚口区,130,875667.5035,3825391.12,876667.5035,3824391.12,8,0,0,1
420104,硚口区,131,875667.5035,3824391.12,876667.5035,3823391.12,0,0,0,0
420105,汉阳区,131,875667.5035,3824391.12,876667.5035,3823391.12,0,0,0,0
420104,硚口区,132,875667.5035,3823391.12,876667.5035,3822391.12,0,0,0,0
420105,汉阳区,133,875667.5035,3822391.12,876667.5035,3821391.12,0,0,0,0
420105,汉阳区,134,875667.5035,3821391.12,876667.5035,3820391.12,0,0,0,0
420105,汉阳区,135,875667.5035,3820391.12,876667.5035,3819391.12,0,0,0,0
420105,汉阳区,136,875667.5035,3819391.12,876667.5035,3818391.12,0,0,0,0
420104,硚口区,156,876667.5035,3828391.12,877667.5035,3827391.12,0,0,0,0
420104,硚口区,157,876667.5035,3827391.12,877667.5035,3826391.12,0,0,0,1
420104,硚口区,158,876667.5035,3826391.12,877667.5035,3825391.12,0,0,0,2
420104,硚口区,159,876667.5035,3825391.12,877667.5035,3824391.12,6,2,0,3
420104,硚口区,160,876667.5035,3824391.12,877667.5035,3823391.12,1,0,0,0
420104,硚口区,161,876667.5035,3823391.12,877667.5035,3822391.12,0,0,0,0
420105,汉阳区,162,876667.5035,3822391.12,877667.5035,3821391.12,0,2,0,0
420105,汉阳区,163,876667.5035,3821391.12,877667.5035,3820391.12,0,0,0,0
420105,汉阳区,164,876667.5035,3820391.12,877667.5035,3819391.12,0,0,0,0
420105,汉阳区,165,876667.5035,3819391.12,877667.5035,3818391.12,0,0,0,0
420105,汉阳区,166,876667.5035,3818391.12,877667.5035,3817391.12,0,2,0,0
420104,硚口区,184,877667.5035,3829391.12,878667.5035,3828391.12,0,0,0,0
420104,硚口区,185,877667.5035,3828391.12,878667.5035,3827391.12,0,0,0,0
420104,硚口区,186,877667.5035,3827391.12,878667.5035,3826391.12,0,0,0,2
420104,硚口区,187,877667.5035,3826391.12,878667.5035,3825391.12,1,0,0,3
420104,硚口区,188,877667.5035,3825391.12,878667.5035,3824391.12,2,4,1,0
420105,汉阳区,189,877667.5035,3824391.12,878667.5035,3823391.12,0,0,0,0
420105,汉阳区,190,877667.5035,3823391.12,878667.5035,3822391.12,0,0,0,0
420105,汉阳区,191,877667.5035,3822391.12,878667.5035,3821391.12,3,2,0,0
420105,汉阳区,192,877667.5035,3821391.12,878667.5035,3820391.12,1,2,0,0
420105,汉阳区,193,877667.5035,3820391.12,878667.5035,3819391.12,0,2,0,1
420105,汉阳区,194,877667.5035,3819391.12,878667.5035,3818391.12,0,0,0,0
420105,汉阳区,195,877667.5035,3818391.12,878667.5035,3817391.12,0,0,0,1
420105,汉阳区,196,877667.5035,3817391.12,878667.5035,3816391.12,0,0,0,0
420105,汉阳区,197,877667.5035,3816391.12,878667.5035,3815391.12,0,0,0,0
420104,硚口区,213,878667.5035,3829391.12,879667.5035,3828391.12,0,0,0,0
